shipment_id,p_late,severity_p50,line_item_value,risk_tier,action,simulated_net_benefit,robustness,human_approval_required
1502,0.22345305940958027,0.0,10.216618049441497,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1512,0.15212957868093127,0.0,7.278490906569203,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1513,0.17963292513118312,0.0,7.955425088912672,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1519,0.3350812913365906,0.0,9.816512538521721,WATCH,MONITOR,-10.0,ROBUST,False
1527,0.1256174095459154,0.0,12.506180941677357,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1529,0.4449736520564628,0.0,10.31637504645993,WATCH,MONITOR,-10.0,ROBUST,False
1530,0.48459987169485896,0.0,7.650168700845001,WATCH,MONITOR,-10.0,ROBUST,False
1531,0.19869896826695235,0.0,9.770013301136158,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1587,0.2800381074363437,0.0,6.352629396319567,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1593,0.10885378041179883,0.0,9.575052927597383,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1594,0.35628408989088867,0.0,12.53282277525315,WATCH,MONITOR,-10.0,ROBUST,False
1618,0.2655704232210355,0.0,12.570719231334277,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1628,0.2080233864406223,0.0,12.171900367556262,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1634,0.1827348442466434,0.0,3.784189633918261,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1637,0.3616092310635042,0.0,8.962391701743002,WATCH,MONITOR,-10.0,ROBUST,False
1638,0.2664868124129258,0.0,12.282899418393463,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1643,0.1718637156119648,0.0,0.5306282510621704,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1644,0.37564363259472966,0.0,11.266014185727938,WATCH,MONITOR,-10.0,ROBUST,False
1645,0.3260289132146775,0.0,11.266014185727938,WATCH,MONITOR,-10.0,ROBUST,False
1646,0.4434688219717985,0.0,10.189605903011726,WATCH,MONITOR,-10.0,ROBUST,False
1647,0.14699035955059717,0.0,9.637884599172999,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1660,0.4142666407777825,0.0,2.853015971352396,WATCH,MONITOR,-10.0,ROBUST,False
1673,0.3694067147269037,0.0,9.665293813175541,WATCH,MONITOR,-10.0,ROBUST,False
1674,0.14600437473123914,0.0,3.8770173962293306,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1675,0.37792829194868827,0.0,9.298900548955663,WATCH,MONITOR,-10.0,ROBUST,False
1691,0.2766189155519322,0.0,10.283053487118604,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1693,0.4779939142223373,0.0,11.253462786826677,WATCH,MONITOR,-10.0,ROBUST,False
