fold_id,target,nominal_level,nominal_coverage,observed_coverage,coverage_error,mean_width,median_width,lower_violations,upper_violations,obs_coverage_rdc,obs_coverage_direct,q_adjustment
3,Delay_Days_Signed,95,0.95,0.9207920792079208,-0.029207920792079123,88.9039638618505,88.60627047410078,0.0231023102310231,0.056105610561056105,0.8613569321533924,0.9962546816479401,12.702238264973388
3,Delay_Days_Positive_Only,80,0.8,0.7524752475247525,-0.04752475247524757,5.129178085823511,3.2132957742413693,0.019801980198019802,0.22772277227722773,0.6076696165191741,0.9363295880149812,0.0
3,Delay_Days_Positive_Only,90,0.9,0.8762376237623762,-0.023762376237623783,17.451069225900657,15.316414369409415,0.019801980198019802,0.10396039603960396,0.8171091445427728,0.951310861423221,0.0
3,Delay_Days_Positive_Only,95,0.95,0.9224422442244224,-0.027557755775577508,25.499469512438147,23.40719262728826,0.0,0.07755775577557755,0.8643067846607669,0.9962546816479401,2.0891771031957926
4,Delay_Days_Signed,80,0.8,0.7949790794979079,-0.00502092050209213,23.23790149020118,8.32409215560867,0.06415620641562064,0.14086471408647142,0.5714285714285714,0.950354609929078,1.1927585869515365
4,Delay_Days_Signed,90,0.9,0.8535564853556485,-0.04644351464435148,36.56117826679966,32.22204604805579,0.05299860529986053,0.09344490934449093,0.6768707482993197,0.9763593380614657,1.5787179425408642
4,Delay_Days_Signed,95,0.95,0.9483960948396095,-0.0016039051603904397,83.68919298603015,84.25168519984351,0.022315202231520222,0.029288702928870293,0.8809523809523809,0.9952718676122931,18.94880907962164
4,Delay_Days_Positive_Only,80,0.8,0.7545327754532776,-0.04546722454672247,1.8531709207958451,0.5339711755161844,0.04881450488145049,0.199442119944212,0.6530612244897959,0.8250591016548463,0.0
4,Delay_Days_Positive_Only,90,0.9,0.8605299860529986,-0.03947001394700145,11.234065661601818,8.108943300046434,0.04881450488145049,0.09065550906555091,0.7891156462585034,0.9101654846335697,1.5905521942286924
4,Delay_Days_Positive_Only,95,0.95,0.9553695955369595,0.005369595536959593,29.986773643916013,26.073825203569182,0.0,0.044630404463040445,0.8979591836734694,0.9952718676122931,8.721363676390666
